review,positive_or_negative
atmosphere relaxed pleasant absolutely loved pasta portion generous fresh service quick professional definitely worth visit,positive
disappointed seafood platter bland poorly cooked staff rude inattentive uncomfortable crowded will not order again,negative
comfortable place dinner really enjoyed fresh salad better than expected team handled everything smoothly come back,positive
atmosphere noisy unpleasant poor experience steak presentation careless food tasted worse nobody seemed interested helping will not order again,negative
great experience cheesecake because flavors balanced satisfying waiter checked right time left satisfied meal satisfying from start finish,positive
atmosphere noisy unpleasant frustrated coffee overcooked lacked flavor nobody seemed interested helping poor value money idk,negative
tables clean music nice loved pasta presentation beautiful taste matched greeted warmly served quickly left satisfied,positive
one best things here chocolate cake staff friendly attentive arrived hot looked great comfortable place dinner meal satisfying from start finish come back,positive
loved burger staff friendly attentive ingredients tasted high quality atmosphere relaxed pleasant meal satisfying from start finish left satisfied,positive
great experience sandwiches everything tasted fresh well seasoned place felt welcoming well maintained staff friendly attentive will order again,positive
place felt welcoming well maintained such good experience breakfast everything tasted fresh well seasoned service quick professional great value price,positive
absolutely loved breakfast waiter checked right time everything tasted fresh well seasoned place felt welcoming well maintained everything came out nicely timed will order again,positive
regret ordering seafood platter service felt disorganized overcooked lacked flavor dining room dirty uncomfortable price did not match quality choose another restaurant next time honestly,negative
disappointed coffee portion small disappointing nobody seemed interested helping place looked poorly maintained choose another restaurant next time,negative
really unhappy steak portion small disappointing table dirty when arrived staff rude inattentive poor value money honestly,negative
disappointed breakfast because portion small disappointing nobody seemed interested helping poor value money expected much better money,negative
poor experience breakfast greasy not enjoyable service felt disorganized atmosphere noisy unpleasant choose another restaurant next time,negative
one best things here steak texture excellent waiter checked right time dining room clean comfortable come back,positive
poor experience vegetable couscous portion small disappointing atmosphere noisy unpleasant staff rude inattentive choose another restaurant next time,negative
absolutely loved pizza ingredients tasted high quality everyone welcoming helpful place felt welcoming well maintained great value price,positive
bad experience lentil soup greasy not enjoyable waited far too long before anyone helped place looked poorly maintained definitely not worth price,negative
not impressed fries service extremely slow arrived cold looked unappetizing dining room dirty uncomfortable several things went wrong during visit choose another restaurant next time,negative
frustrated steak much worse than expected dining room dirty uncomfortable ask several times basic things poor value money,negative
not impressed burger texture unpleasant atmosphere noisy unpleasant ask several times basic things not come back,negative
dining room clean comfortable really enjoyed fries flavors balanced satisfying team handled everything smoothly left satisfied,positive
loved lemonade because ingredients tasted high quality greeted warmly served quickly definitely worth visit,positive
dining room dirty uncomfortable frustrated vegetable couscous flavors unbalanced disappointing service felt disorganized definitely not worth price,negative
table dirty when arrived poor experience vegetable couscous arrived cold looked unappetizing nobody seemed interested helping choose another restaurant next time idk,negative
such good experience breakfast fresh tasty filling atmosphere relaxed pleasant everyone welcoming helpful solid choice dinner,positive
great experience vegetable couscous because ingredients tasted high quality team handled everything smoothly will order again everything came out nicely timed,positive
unfortunately disliked lemonade because texture unpleasant ask several times basic things left disappointed meal disappointing from start finish,negative
atmosphere noisy unpleasant unfortunately disliked coffee bland poorly cooked waited far too long before anyone helped choose another restaurant next time,negative
table dirty when arrived not impressed lemonade texture unpleasant service extremely slow definitely not worth price,negative
absolutely loved cheesecake fresh tasty filling everyone welcoming helpful place felt welcoming well maintained come back,positive
happy pizza ingredients tasted high quality comfortable place dinner everyone welcoming helpful solid choice dinner,positive
poor experience grilled chicken arrived cold looked unappetizing ask several times basic things place looked poorly maintained choose another restaurant next time,negative
dining room clean comfortable pleasantly surprised fresh salad presentation beautiful taste matched service quick professional great value price,positive
poor experience lemonade nobody seemed interested helping bland poorly cooked dining room dirty uncomfortable meal disappointing from start finish not come back,negative
dining room clean comfortable pleasantly surprised lemonade flavorful cooked perfectly staff friendly attentive definitely worth visit,positive
not impressed burger much worse than expected service felt disorganized place looked poorly maintained left disappointed honestly,negative
happily recommend breakfast team handled everything smoothly portion generous fresh tables clean music nice meal satisfying from start finish will order again href,positive
loved fries because fresh tasty filling staff friendly attentive come back flavors memorable,positive
disappointed cheesecake waited far too long before anyone helped much worse than expected uncomfortable crowded price did not match quality poor value money,negative
impressed fries because presentation beautiful taste matched service quick professional left satisfied everything came out nicely timed,positive
happily recommend coffee presentation beautiful taste matched atmosphere relaxed pleasant greeted warmly served quickly come back,positive
unfortunately disliked steak nobody seemed interested helping ingredients did not taste fresh place looked poorly maintained meal disappointing from start finish poor value money,negative
not impressed steak because portion small disappointing waited far too long before anyone helped choose another restaurant next time quality inconsistent,negative
poor experience pasta arrived cold looked unappetizing atmosphere noisy unpleasant service felt disorganized left disappointed honestly,negative
place felt welcoming well maintained happily recommend pasta everything tasted fresh well seasoned greeted warmly served quickly solid choice dinner,positive
happy coffee because better than expected team handled everything smoothly definitely worth visit flavors memorable,positive
regret ordering lemonade ingredients did not taste fresh nobody seemed interested helping uncomfortable crowded definitely not worth price,negative
really enjoyed lentil soup arrived hot looked great tables clean music nice greeted warmly served quickly great value price,positive
not impressed steak nobody seemed interested helping flavors unbalanced disappointing place looked poorly maintained several things went wrong during visit definitely not worth price,negative
really unhappy lentil soup bland poorly cooked service felt disorganized place looked poorly maintained choose another restaurant next time,negative
happy vegetable couscous because flavorful cooked perfectly service quick professional great value price everything came out nicely timed,positive
happily recommend vegetable couscous texture excellent atmosphere relaxed pleasant service quick professional will order again,positive
such good experience grilled chicken everyone welcoming helpful flavorful cooked perfectly place felt welcoming well maintained quality consistent throughout meal definitely worth visit href,positive
happy fries because better than expected waiter checked right time solid choice dinner quality consistent throughout meal href,positive
really enjoyed fresh salad fresh tasty filling place felt welcoming well maintained team handled everything smoothly will order again href,positive
impressed lentil soup because better than expected greeted warmly served quickly definitely worth visit quality consistent throughout meal href,positive
not recommend vegetable couscous texture unpleasant place looked poorly maintained service extremely slow left disappointed honestly,negative
not impressed lentil soup flavors unbalanced disappointing uncomfortable crowded waited far too long before anyone helped poor value money,negative
one best things here sandwiches because ingredients tasted high quality team handled everything smoothly great value price quality consistent throughout meal,positive
not impressed chocolate cake because ingredients did not taste fresh service felt disorganized left disappointed expected much better money,negative
unfortunately disliked cheesecake because bland poorly cooked ask several times basic things not come back price did not match quality,negative
dining room clean comfortable loved fresh salad everything tasted fresh well seasoned team handled everything smoothly great value price href,positive
frustrated breakfast much worse than expected ask several times basic things dining room dirty uncomfortable will not order again,negative
impressed cheesecake because everything tasted fresh well seasoned everyone welcoming helpful solid choice dinner everything came out nicely timed,positive
not recommend fries texture unpleasant service extremely slow place looked poorly maintained not come back btw,negative
disappointed pizza because ingredients did not taste fresh ask several times basic things choose another restaurant next time meal disappointing from start finish,negative
disappointed chocolate cake flavors unbalanced disappointing dining room dirty uncomfortable service extremely slow will not order again,negative
disappointed breakfast service extremely slow overcooked lacked flavor table dirty when arrived expected much better money choose another restaurant next time,negative
atmosphere noisy unpleasant regret ordering fries flavors unbalanced disappointing staff rude inattentive choose another restaurant next time,negative
impressed grilled chicken flavors balanced satisfying comfortable place dinner waiter checked right time great value price,positive
happy burger better than expected dining room clean comfortable waiter checked right time solid choice dinner,positive
bad experience seafood platter because arrived cold looked unappetizing ask several times basic things will not order again meal disappointing from start finish idk,negative
frustrated breakfast nobody seemed interested helping portion small disappointing place looked poorly maintained expected much better money left disappointed btw,negative
atmosphere relaxed pleasant happy grilled chicken better than expected greeted warmly served quickly definitely worth visit,positive
place looked poorly maintained unfortunately disliked lemonade greasy not enjoyable nobody seemed interested helping left disappointed,negative
really enjoyed pasta waiter checked right time flavors balanced satisfying comfortable place dinner quality consistent throughout meal will order again,positive
such good experience sandwiches arrived hot looked great tables clean music nice team handled everything smoothly come back,positive
happily recommend fries everything tasted fresh well seasoned atmosphere relaxed pleasant staff friendly attentive solid choice dinner,positive
such good experience vegetable couscous because presentation beautiful taste matched greeted warmly served quickly definitely worth visit href,positive
unfortunately disliked chocolate cake portion small disappointing nobody seemed interested helping uncomfortable crowded left disappointed,negative
not impressed fries overcooked lacked flavor dining room dirty uncomfortable service felt disorganized left disappointed,negative
one best things here seafood platter ingredients tasted high quality comfortable place dinner staff friendly attentive definitely worth visit href,positive
tables clean music nice happily recommend vegetable couscous fresh tasty filling everyone welcoming helpful will order again,positive
unfortunately disliked lentil soup arrived cold looked unappetizing ask several times basic things table dirty when arrived not come back,negative
disappointed pizza waited far too long before anyone helped flavors unbalanced disappointing table dirty when arrived several things went wrong during visit will not order again,negative
place looked poorly maintained unfortunately disliked burger greasy not enjoyable service extremely slow choose another restaurant next time,negative
really enjoyed breakfast arrived hot looked great place felt welcoming well maintained greeted warmly served quickly left satisfied,positive
table dirty when arrived poor experience lentil soup overcooked lacked flavor nobody seemed interested helping definitely not worth price,negative
really enjoyed lemonade staff friendly attentive everything tasted fresh well seasoned place felt welcoming well maintained meal satisfying from start finish great value price,positive
unfortunately disliked lentil soup arrived cold looked unappetizing waited far too long before anyone helped uncomfortable crowded will not order again,negative
such good experience lemonade because portion generous fresh waiter checked right time definitely worth visit quality consistent throughout meal,positive
unfortunately disliked lemonade waited far too long before anyone helped arrived cold looked unappetizing place looked poorly maintained expected much better money not come back,negative
really unhappy lemonade flavors unbalanced disappointing dining room dirty uncomfortable nobody seemed interested helping will not order again,negative
disappointed fresh salad flavors unbalanced disappointing dining room dirty uncomfortable ask several times basic things definitely not worth price,negative
dining room dirty uncomfortable regret ordering grilled chicken ingredients did not taste fresh ask several times basic things poor value money,negative
regret ordering lentil soup bland poorly cooked dining room dirty uncomfortable service felt disorganized will not order again,negative
frustrated steak ingredients did not taste fresh table dirty when arrived ask several times basic things choose another restaurant next time,negative
impressed steak everyone welcoming helpful better than expected tables clean music nice quality consistent throughout meal solid choice dinner,positive
pleasantly surprised chocolate cake portion generous fresh service quick professional tables clean music nice left satisfied,positive
atmosphere relaxed pleasant really enjoyed lemonade flavors balanced satisfying waiter checked right time will order again,positive
tables clean music nice pleasantly surprised grilled chicken ingredients tasted high quality greeted warmly served quickly left satisfied href,positive
great experience grilled chicken waiter checked right time flavors balanced satisfying atmosphere relaxed pleasant meal satisfying from start finish great value price,positive
loved sandwiches portion generous fresh place felt welcoming well maintained service quick professional will order again,positive
really unhappy sandwiches because texture unpleasant nobody seemed interested helping poor value money,negative
place looked poorly maintained frustrated lemonade ingredients did not taste fresh staff rude inattentive choose another restaurant next time idk,negative
absolutely loved fresh salad everyone welcoming helpful flavorful cooked perfectly tables clean music nice solid choice dinner,positive
really unhappy vegetable couscous flavors unbalanced disappointing place looked poorly maintained staff rude inattentive left disappointed,negative
great experience lentil soup team handled everything smoothly portion generous fresh atmosphere relaxed pleasant price felt reasonable quality definitely worth visit,positive
uncomfortable crowded frustrated pasta portion small disappointing service felt disorganized left disappointed,negative
pleasantly surprised sandwiches flavors balanced satisfying service quick professional atmosphere relaxed pleasant definitely worth visit,positive
happily recommend chocolate cake arrived hot looked great waiter checked right time comfortable place dinner come back,positive
one best things here fries because everything tasted fresh well seasoned service quick professional great value price flavors memorable href,positive
not recommend steak greasy not enjoyable service extremely slow place looked poorly maintained poor value money,negative
loved steak fresh tasty filling everyone welcoming helpful comfortable place dinner definitely worth visit,positive
unfortunately disliked burger waited far too long before anyone helped ingredients did not taste fresh atmosphere noisy unpleasant meal disappointing from start finish definitely not worth price,negative
comfortable place dinner happily recommend vegetable couscous better than expected everyone welcoming helpful will order again,positive
disappointed coffee because texture unpleasant ask several times basic things definitely not worth price several things went wrong during visit btw,negative
not impressed coffee service extremely slow portion small disappointing atmosphere noisy unpleasant price did not match quality poor value money btw,negative
disappointed lemonade flavors unbalanced disappointing table dirty when arrived service extremely slow definitely not worth price,negative
dining room dirty uncomfortable frustrated coffee arrived cold looked unappetizing service extremely slow definitely not worth price,negative
great experience coffee waiter checked right time flavors balanced satisfying tables clean music nice everything came out nicely timed left satisfied href,positive
one best things here grilled chicken better than expected tables clean music nice everyone welcoming helpful will order again,positive
loved chocolate cake fresh tasty filling service quick professional atmosphere relaxed pleasant definitely worth visit,positive
frustrated fresh salad service felt disorganized much worse than expected place looked poorly maintained price did not match quality poor value money btw,negative
unfortunately disliked vegetable couscous because presentation careless food tasted worse service extremely slow not come back meal disappointing from start finish btw,negative
not impressed cheesecake flavors unbalanced disappointing place looked poorly maintained waited far too long before anyone helped will not order again btw,negative
dining room clean comfortable happily recommend steak ingredients tasted high quality service quick professional solid choice dinner,positive
uncomfortable crowded really unhappy grilled chicken texture unpleasant nobody seemed interested helping not come back,negative
place looked poorly maintained not recommend pasta overcooked lacked flavor nobody seemed interested helping left disappointed,negative
such good experience cheesecake better than expected dining room clean comfortable waiter checked right time come back,positive
really unhappy coffee texture unpleasant atmosphere noisy unpleasant service felt disorganized will not order again,negative
pleasantly surprised grilled chicken because flavorful cooked perfectly team handled everything smoothly solid choice dinner flavors memorable,positive
pleasantly surprised lemonade everyone welcoming helpful portion generous fresh place felt welcoming well maintained flavors memorable solid choice dinner,positive
comfortable place dinner really enjoyed fresh salad flavors balanced satisfying service quick professional left satisfied,positive
unfortunately disliked chocolate cake nobody seemed interested helping texture unpleasant dining room dirty uncomfortable several things went wrong during visit choose another restaurant next time btw,negative
loved steak portion generous fresh staff friendly attentive tables clean music nice will order again,positive
really unhappy pizza overcooked lacked flavor service extremely slow place looked poorly maintained left disappointed btw,negative
disappointed sandwiches because greasy not enjoyable staff rude inattentive left disappointed quality inconsistent,negative
not impressed pizza flavors unbalanced disappointing service felt disorganized uncomfortable crowded definitely not worth price,negative
not recommend lentil soup portion small disappointing table dirty when arrived staff rude inattentive will not order again idk,negative
unfortunately disliked cheesecake ask several times basic things greasy not enjoyable table dirty when arrived price did not match quality definitely not worth price honestly,negative
great experience fries portion generous fresh tables clean music nice team handled everything smoothly great value price,positive
not recommend lentil soup because overcooked lacked flavor waited far too long before anyone helped poor value money price did not match quality,negative
dining room clean comfortable really enjoyed vegetable couscous flavors balanced satisfying waiter checked right time will order again,positive
great experience steak arrived hot looked great comfortable place dinner staff friendly attentive left satisfied,positive
not recommend vegetable couscous because arrived cold looked unappetizing staff rude inattentive definitely not worth price,negative
loved coffee ingredients tasted high quality team handled everything smoothly atmosphere relaxed pleasant definitely worth visit,positive
really unhappy lentil soup waited far too long before anyone helped bland poorly cooked atmosphere noisy unpleasant quality inconsistent choose another restaurant next time honestly,negative
really enjoyed fresh salad better than expected comfortable place dinner team handled everything smoothly left satisfied href,positive
tables clean music nice pleasantly surprised vegetable couscous everything tasted fresh well seasoned team handled everything smoothly left satisfied,positive
great experience breakfast flavorful cooked perfectly greeted warmly served quickly comfortable place dinner come back,positive
not recommend pasta because greasy not enjoyable staff rude inattentive poor value money meal disappointing from start finish,negative
comfortable place dinner loved pizza everything tasted fresh well seasoned greeted warmly served quickly solid choice dinner href,positive
happily recommend fries waiter checked right time flavorful cooked perfectly tables clean music nice meal satisfying from start finish solid choice dinner,positive
place felt welcoming well maintained impressed coffee portion generous fresh greeted warmly served quickly come back,positive
such good experience sandwiches ingredients tasted high quality comfortable place dinner everyone welcoming helpful great value price,positive
bad experience lemonade much worse than expected place looked poorly maintained nobody seemed interested helping not come back btw,negative
happy seafood platter because fresh tasty filling team handled everything smoothly come back,positive
impressed grilled chicken flavors balanced satisfying staff friendly attentive atmosphere relaxed pleasant left satisfied,positive
bad experience fries overcooked lacked flavor staff rude inattentive dining room dirty uncomfortable definitely not worth price,negative
one best things here breakfast presentation beautiful taste matched comfortable place dinner greeted warmly served quickly great value price,positive
great experience fresh salad texture excellent tables clean music nice staff friendly attentive definitely worth visit,positive
really enjoyed pizza flavors balanced satisfying tables clean music nice service quick professional solid choice dinner,positive
disappointed vegetable couscous overcooked lacked flavor nobody seemed interested helping place looked poorly maintained poor value money,negative
comfortable place dinner impressed grilled chicken flavors balanced satisfying service quick professional left satisfied,positive
frustrated cheesecake ask several times basic things greasy not enjoyable atmosphere noisy unpleasant quality inconsistent poor value money,negative
bad experience sandwiches because bland poorly cooked service extremely slow will not order again expected much better money,negative
really enjoyed coffee because portion generous fresh everyone welcoming helpful will order again flavors memorable,positive
frustrated coffee because arrived cold looked unappetizing ask several times basic things poor value money idk,negative
disappointed breakfast service felt disorganized texture unpleasant atmosphere noisy unpleasant price did not match quality poor value money idk,negative
disappointed grilled chicken ingredients did not taste fresh nobody seemed interested helping dining room dirty uncomfortable will not order again,negative
really enjoyed coffee because texture excellent waiter checked right time definitely worth visit flavors memorable,positive
happy fries flavors balanced satisfying waiter checked right time comfortable place dinner left satisfied href,positive
really unhappy coffee ingredients did not taste fresh place looked poorly maintained waited far too long before anyone helped definitely not worth price,negative
place felt welcoming well maintained loved sandwiches portion generous fresh waiter checked right time left satisfied,positive
happily recommend pizza fresh tasty filling everyone welcoming helpful comfortable place dinner great value price,positive
disappointed breakfast because arrived cold looked unappetizing ask several times basic things choose another restaurant next time price did not match quality,negative
happily recommend pasta because flavors balanced satisfying greeted warmly served quickly will order again quality consistent throughout meal,positive
pleasantly surprised seafood platter everyone welcoming helpful flavors balanced satisfying atmosphere relaxed pleasant quality consistent throughout meal great value price,positive
really unhappy fresh salad ingredients did not taste fresh uncomfortable crowded waited far too long before anyone helped choose another restaurant next time,negative
disappointed grilled chicken service extremely slow flavors unbalanced disappointing atmosphere noisy unpleasant meal disappointing from start finish poor value money,negative
happily recommend breakfast because ingredients tasted high quality team handled everything smoothly come back flavors memorable,positive
frustrated fries because portion small disappointing ask several times basic things poor value money price did not match quality,negative
dining room dirty uncomfortable regret ordering seafood platter portion small disappointing waited far too long before anyone helped poor value money,negative
not recommend sandwiches overcooked lacked flavor atmosphere noisy unpleasant service extremely slow will not order again,negative
not impressed steak arrived cold looked unappetizing uncomfortable crowded staff rude inattentive will not order again,negative
happy vegetable couscous fresh tasty filling comfortable place dinner greeted warmly served quickly definitely worth visit,positive
really unhappy vegetable couscous service extremely slow portion small disappointing atmosphere noisy unpleasant expected much better money choose another restaurant next time,negative
poor experience coffee service felt disorganized greasy not enjoyable atmosphere noisy unpleasant price did not match quality will not order again,negative
absolutely loved sandwiches service quick professional everything tasted fresh well seasoned atmosphere relaxed pleasant quality consistent throughout meal left satisfied,positive
frustrated vegetable couscous waited far too long before anyone helped portion small disappointing place looked poorly maintained several things went wrong during visit poor value money honestly,negative
disappointed lentil soup texture unpleasant dining room dirty uncomfortable nobody seemed interested helping choose another restaurant next time,negative
not impressed pasta flavors unbalanced disappointing nobody seemed interested helping dining room dirty uncomfortable choose another restaurant next time honestly,negative
disappointed fries texture unpleasant ask several times basic things dining room dirty uncomfortable poor value money,negative
frustrated pizza bland poorly cooked nobody seemed interested helping place looked poorly maintained left disappointed,negative
frustrated chocolate cake flavors unbalanced disappointing ask several times basic things table dirty when arrived not come back btw,negative
poor experience fries service extremely slow overcooked lacked flavor atmosphere noisy unpleasant definitely not worth price honestly,negative
disappointed lemonade because portion small disappointing nobody seemed interested helping will not order again,negative
great experience pasta everyone welcoming helpful flavors balanced satisfying dining room clean comfortable solid choice dinner href,positive
frustrated pizza ingredients did not taste fresh table dirty when arrived service felt disorganized left disappointed btw,negative
really enjoyed vegetable couscous portion generous fresh service quick professional comfortable place dinner solid choice dinner,positive
great experience steak ingredients tasted high quality comfortable place dinner waiter checked right time great value price href,positive
one best things here sandwiches team handled everything smoothly flavors balanced satisfying atmosphere relaxed pleasant everything came out nicely timed left satisfied,positive
unfortunately disliked coffee portion small disappointing atmosphere noisy unpleasant staff rude inattentive not come back,negative
one best things here lemonade portion generous fresh waiter checked right time tables clean music nice definitely worth visit,positive
bad experience cheesecake service felt disorganized portion small disappointing atmosphere noisy unpleasant definitely not worth price,negative
impressed lentil soup staff friendly attentive texture excellent place felt welcoming well maintained meal satisfying from start finish great value price,positive
regret ordering lemonade because arrived cold looked unappetizing nobody seemed interested helping definitely not worth price meal disappointing from start finish,negative
atmosphere noisy unpleasant regret ordering burger overcooked lacked flavor nobody seemed interested helping not come back,negative
unfortunately disliked chocolate cake waited far too long before anyone helped portion small disappointing place looked poorly maintained several things went wrong during visit definitely not worth price,negative
absolutely loved coffee team handled everything smoothly portion generous fresh place felt welcoming well maintained flavors memorable come back,positive
happy grilled chicken flavors balanced satisfying tables clean music nice team handled everything smoothly come back,positive
disappointed breakfast because bland poorly cooked service extremely slow not come back expected much better money,negative
really unhappy grilled chicken arrived cold looked unappetizing dining room dirty uncomfortable staff rude inattentive left disappointed btw,negative
loved vegetable couscous ingredients tasted high quality staff friendly attentive comfortable place dinner solid choice dinner,positive
atmosphere noisy unpleasant not recommend cheesecake portion small disappointing staff rude inattentive will not order again,negative
not recommend steak flavors unbalanced disappointing table dirty when arrived waited far too long before anyone helped choose another restaurant next time idk,negative
not impressed pasta because texture unpleasant service extremely slow left disappointed quality inconsistent,negative
not impressed cheesecake nobody seemed interested helping much worse than expected atmosphere noisy unpleasant not come back btw,negative
pleasantly surprised burger better than expected everyone welcoming helpful atmosphere relaxed pleasant come back,positive
one best things here vegetable couscous better than expected dining room clean comfortable service quick professional definitely worth visit,positive
dining room clean comfortable one best things here sandwiches texture excellent everyone welcoming helpful solid choice dinner,positive
regret ordering coffee staff rude inattentive portion small disappointing dining room dirty uncomfortable left disappointed honestly,negative
uncomfortable crowded regret ordering cheesecake presentation careless food tasted worse nobody seemed interested helping choose another restaurant next time,negative
comfortable place dinner pleasantly surprised grilled chicken everything tasted fresh well seasoned greeted warmly served quickly solid choice dinner,positive
frustrated pizza ask several times basic things greasy not enjoyable uncomfortable crowded several things went wrong during visit definitely not worth price,negative
unfortunately disliked fresh salad bland poorly cooked place looked poorly maintained nobody seemed interested helping left disappointed,negative
disappointed vegetable couscous presentation careless food tasted worse ask several times basic things place looked poorly maintained choose another restaurant next time,negative
such good experience pizza flavorful cooked perfectly service quick professional atmosphere relaxed pleasant solid choice dinner,positive
unfortunately disliked cheesecake portion small disappointing dining room dirty uncomfortable waited far too long before anyone helped left disappointed,negative
great experience steak because presentation beautiful taste matched service quick professional left satisfied href,positive
happy burger because ingredients tasted high quality waiter checked right time great value price quality consistent throughout meal,positive
impressed pasta team handled everything smoothly flavors balanced satisfying place felt welcoming well maintained left satisfied,positive
happy chocolate cake waiter checked right time portion generous fresh dining room clean comfortable will order again,positive
regret ordering burger ingredients did not taste fresh place looked poorly maintained waited far too long before anyone helped will not order again,negative
such good experience coffee fresh tasty filling atmosphere relaxed pleasant waiter checked right time come back,positive
bad experience lentil soup arrived cold looked unappetizing ask several times basic things uncomfortable crowded will not order again,negative
absolutely loved lemonade greeted warmly served quickly everything tasted fresh well seasoned atmosphere relaxed pleasant quality consistent throughout meal definitely worth visit,positive
place felt welcoming well maintained absolutely loved lentil soup texture excellent everyone welcoming helpful solid choice dinner,positive
unfortunately disliked fresh salad much worse than expected table dirty when arrived service felt disorganized choose another restaurant next time,negative
tables clean music nice such good experience coffee fresh tasty filling staff friendly attentive great value price,positive
dining room clean comfortable really enjoyed fries everything tasted fresh well seasoned everyone welcoming helpful come back,positive
great experience pizza ingredients tasted high quality waiter checked right time place felt welcoming well maintained great value price,positive
not recommend fresh salad presentation careless food tasted worse nobody seemed interested helping uncomfortable crowded poor value money idk,negative
poor experience lentil soup because greasy not enjoyable ask several times basic things poor value money,negative
great experience sandwiches because fresh tasty filling service quick professional definitely worth visit price felt reasonable quality,positive
bad experience lemonade because much worse than expected ask several times basic things left disappointed expected much better money,negative
dining room dirty uncomfortable bad experience fresh salad much worse than expected waited far too long before anyone helped choose another restaurant next time,negative
place felt welcoming well maintained really enjoyed pasta arrived hot looked great staff friendly attentive will order again href,positive
such good experience vegetable couscous fresh tasty filling tables clean music nice staff friendly attentive come back,positive
unfortunately disliked vegetable couscous greasy not enjoyable place looked poorly maintained staff rude inattentive not come back,negative
bad experience vegetable couscous because greasy not enjoyable ask several times basic things choose another restaurant next time several things went wrong during visit btw,negative
regret ordering coffee much worse than expected nobody seemed interested helping dining room dirty uncomfortable not come back honestly,negative
unfortunately disliked pizza presentation careless food tasted worse dining room dirty uncomfortable waited far too long before anyone helped left disappointed,negative
happily recommend pasta better than expected tables clean music nice team handled everything smoothly solid choice dinner href,positive
such good experience seafood platter because presentation beautiful taste matched staff friendly attentive solid choice dinner,positive
place looked poorly maintained disappointed grilled chicken arrived cold looked unappetizing ask several times basic things will not order again,negative
table dirty when arrived really unhappy grilled chicken greasy not enjoyable staff rude inattentive choose another restaurant next time idk,negative
disappointed fresh salad staff rude inattentive arrived cold looked unappetizing table dirty when arrived meal disappointing from start finish definitely not worth price honestly,negative
such good experience cheesecake presentation beautiful taste matched comfortable place dinner greeted warmly served quickly solid choice dinner,positive
tables clean music nice such good experience cheesecake presentation beautiful taste matched service quick professional solid choice dinner,positive
atmosphere noisy unpleasant really unhappy lentil soup much worse than expected service felt disorganized definitely not worth price,negative
really enjoyed pizza greeted warmly served quickly portion generous fresh atmosphere relaxed pleasant flavors memorable great value price,positive
really unhappy lemonade portion small disappointing uncomfortable crowded nobody seemed interested helping choose another restaurant next time,negative
frustrated cheesecake presentation careless food tasted worse table dirty when arrived service extremely slow not come back,negative
great experience pasta because better than expected service quick professional come back flavors memorable,positive
regret ordering seafood platter ask several times basic things greasy not enjoyable atmosphere noisy unpleasant several things went wrong during visit will not order again,negative
happily recommend steak because flavorful cooked perfectly staff friendly attentive will order again meal satisfying from start finish,positive
happily recommend pizza service quick professional ingredients tasted high quality atmosphere relaxed pleasant flavors memorable great value price,positive
disappointed vegetable couscous because overcooked lacked flavor service felt disorganized will not order again expected much better money,negative
comfortable place dinner absolutely loved pizza arrived hot looked great team handled everything smoothly come back,positive
not recommend fresh salad staff rude inattentive ingredients did not taste fresh table dirty when arrived several things went wrong during visit not come back,negative
such good experience coffee waiter checked right time arrived hot looked great tables clean music nice quality consistent throughout meal definitely worth visit,positive
impressed cheesecake because better than expected everyone welcoming helpful solid choice dinner meal satisfying from start finish,positive
frustrated pasta because much worse than expected nobody seemed interested helping not come back,negative
disappointed lentil soup texture unpleasant staff rude inattentive dining room dirty uncomfortable left disappointed,negative
pleasantly surprised chocolate cake because arrived hot looked great everyone welcoming helpful definitely worth visit,positive
uncomfortable crowded not recommend burger greasy not enjoyable nobody seemed interested helping not come back,negative
uncomfortable crowded bad experience burger much worse than expected staff rude inattentive not come back idk,negative
happily recommend coffee because portion generous fresh waiter checked right time left satisfied everything came out nicely timed,positive
comfortable place dinner one best things here vegetable couscous presentation beautiful taste matched waiter checked right time solid choice dinner,positive
disappointed chocolate cake much worse than expected ask several times basic things dining room dirty uncomfortable choose another restaurant next time,negative
not impressed cheesecake arrived cold looked unappetizing nobody seemed interested helping table dirty when arrived choose another restaurant next time honestly,negative
great experience fries team handled everything smoothly flavors balanced satisfying atmosphere relaxed pleasant come back,positive
poor experience burger because ingredients did not taste fresh service extremely slow choose another restaurant next time meal disappointing from start finish btw,negative
poor experience fries flavors unbalanced disappointing service extremely slow atmosphere noisy unpleasant choose another restaurant next time,negative
loved lentil soup because flavors balanced satisfying waiter checked right time solid choice dinner meal satisfying from start finish,positive
atmosphere noisy unpleasant not recommend steak flavors unbalanced disappointing waited far too long before anyone helped poor value money,negative
disappointed lemonade presentation careless food tasted worse waited far too long before anyone helped table dirty when arrived definitely not worth price,negative
disappointed burger service extremely slow much worse than expected atmosphere noisy unpleasant several things went wrong during visit definitely not worth price,negative
not impressed coffee bland poorly cooked dining room dirty uncomfortable service felt disorganized will not order again,negative
uncomfortable crowded not recommend chocolate cake ingredients did not taste fresh staff rude inattentive choose another restaurant next time honestly,negative
uncomfortable crowded bad experience breakfast portion small disappointing ask several times basic things choose another restaurant next time,negative
not impressed lentil soup presentation careless food tasted worse service felt disorganized dining room dirty uncomfortable not come back,negative
regret ordering pizza portion small disappointing uncomfortable crowded service felt disorganized left disappointed idk,negative
frustrated vegetable couscous flavors unbalanced disappointing waited far too long before anyone helped dining room dirty uncomfortable definitely not worth price btw,negative
atmosphere relaxed pleasant absolutely loved vegetable couscous better than expected staff friendly attentive solid choice dinner,positive
